sample,percentile,Ts_tcrbeta,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7A,0.69,8.0,4.0,0.08202657003230567,111,3254
D7A,0.69,8.0,5.0,0.07979293687728187,111,3254
D7A,0.685,8.0,0.0,0.1239348067916418,111,3254
D7A,0.685,8.0,1.0,0.1014983642806982,111,3254
D7A,0.685,8.0,2.0,0.09075980475501585,111,3254
D7A,0.685,8.0,3.0,0.08532924696402241,111,3254
D7A,0.685,8.0,4.0,0.08202657003230567,111,3254
D7A,0.685,8.0,5.0,0.07979293687728187,111,3254
D7A,0.6799999999999999,8.0,0.0,0.1239348067916418,111,3254
D7A,0.6799999999999999,8.0,1.0,0.1014983642806982,111,3254
D7A,0.6799999999999999,8.0,2.0,0.09075980475501585,111,3254
D7A,0.6799999999999999,8.0,3.0,0.08532924696402241,111,3254
D7A,0.6799999999999999,8.0,4.0,0.08202657003230567,111,3254
D7A,0.6799999999999999,8.0,5.0,0.07979293687728187,111,3254
D7A,0.675,8.0,0.0,0.1239348067916418,111,3254
D7A,0.675,8.0,1.0,0.1014983642806982,111,3254
D7A,0.675,8.0,2.0,0.09075980475501585,111,3254
D7A,0.675,8.0,3.0,0.08532924696402241,111,3254
D7A,0.675,8.0,4.0,0.08202657003230567,111,3254
D7A,0.675,8.0,5.0,0.07979293687728187,111,3254
D7A,0.6699999999999999,9.0,0.0,0.13805988566468713,106,3084
D7A,0.6699999999999999,9.0,1.0,0.11053592872782647,106,3084
D7A,0.6699999999999999,9.0,2.0,0.09782679260946728,106,3084
D7A,0.6699999999999999,9.0,3.0,0.09158248659248204,106,3084
D7A,0.6699999999999999,9.0,4.0,0.08784999139854482,106,3084
D7A,0.6699999999999999,9.0,5.0,0.08534847246237935,106,3084
D7A,0.665,9.0,0.0,0.13805988566468713,106,3084
D7A,0.665,9.0,1.0,0.11053592872782647,106,3084
D7A,0.665,9.0,2.0,0.09782679260946728,106,3084
D7A,0.665,9.0,3.0,0.09158248659248204,106,3084
D7A,0.665,9.0,4.0,0.08784999139854482,106,3084
D7A,0.665,9.0,5.0,0.08534847246237935,106,3084
D7A,0.6599999999999999,9.0,0.0,0.13805988566468713,106,3084
D7A,0.6599999999999999,9.0,1.0,0.11053592872782647,106,3084
D7A,0.6599999999999999,9.0,2.0,0.09782679260946728,106,3084
D7A,0.6599999999999999,9.0,3.0,0.09158248659248204,106,3084
D7A,0.6599999999999999,9.0,4.0,0.08784999139854482,106,3084
D7A,0.6599999999999999,9.0,5.0,0.08534847246237935,106,3084
D7A,0.655,9.0,0.0,0.13805988566468713,106,3084
D7A,0.655,9.0,1.0,0.11053592872782647,106,3084
D7A,0.655,9.0,2.0,0.09782679260946728,106,3084
D7A,0.655,9.0,3.0,0.09158248659248204,106,3084
D7A,0.655,9.0,4.0,0.08784999139854482,106,3084
D7A,0.655,9.0,5.0,0.08534847246237935,106,3084
D7A,0.6499999999999999,9.0,0.0,0.13805988566468713,106,3084
D7A,0.6499999999999999,9.0,1.0,0.11053592872782647,106,3084
D7A,0.6499999999999999,9.0,2.0,0.09782679260946728,106,3084
D7A,0.6499999999999999,9.0,3.0,0.09158248659248204,106,3084
D7A,0.6499999999999999,9.0,4.0,0.08784999139854482,106,3084
D7A,0.6499999999999999,9.0,5.0,0.08534847246237935,106,3084
D7A,0.645,9.0,0.0,0.13805988566468713,106,3084
D7A,0.645,9.0,1.0,0.11053592872782647,106,3084
D7A,0.645,9.0,2.0,0.09782679260946728,106,3084
D7A,0.645,9.0,3.0,0.09158248659248204,106,3084
D7A,0.645,9.0,4.0,0.08784999139854482,106,3084
D7A,0.645,9.0,5.0,0.08534847246237935,106,3084
D7A,0.64,9.0,0.0,0.13805988566468713,106,3084
D7A,0.64,9.0,1.0,0.11053592872782647,106,3084
