sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-B10BR_HTxC,0.6499999999999999,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.645,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.645,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.645,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.645,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.64,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.64,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.64,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.64,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.635,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.635,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.635,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.635,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.63,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.63,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.63,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.63,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.625,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.625,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.625,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.625,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.62,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.62,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.62,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.62,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.615,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.615,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.615,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.615,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.61,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.61,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.61,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.61,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.605,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.605,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.605,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.605,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.6,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.6,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.6,0.0,2.0,-0.0080971726666546,176,5320
BL6-B10BR_HTxC,0.6,0.0,5.0,-0.004286335739651769,176,5320
BL6-B10BR_HTxC,0.595,0.0,0.0,-0.03560560494435145,176,5320
BL6-B10BR_HTxC,0.595,0.0,1.0,-0.015295308109519625,176,5320
BL6-B10BR_HTxC,0.595,0.0,2.0,-0.0080971726666546,176,5320
